iter,loss,elbo,kl,weighted_kl,kl_weight
1,43678.5,-43678.203125,0.2980640232563019,0.2980640232563019,1.0
2,43011.12109375,-43010.69921875,0.4235416352748871,0.4235416352748871,1.0
3,42006.625,-42005.875,0.7491070628166199,0.7491070628166199,1.0
4,40068.2265625,-40066.9921875,1.2319577932357788,1.2319577932357788,1.0
5,36726.375,-36724.41796875,1.952710747718811,1.952710747718811,1.0
6,32268.24609375,-32265.208984375,3.033482074737549,3.033482074737549,1.0
7,27566.94140625,-27562.498046875,4.444890975952148,4.444890975952148,1.0
8,27935.193359375,-27929.224609375,5.967330455780029,5.967330455780029,1.0
9,23951.228515625,-23944.291015625,6.9378461837768555,6.9378461837768555,1.0
10,20806.564453125,-20798.798828125,7.765720844268799,7.765720844268799,1.0
11,19073.5,-19064.751953125,8.745970726013184,8.745970726013184,1.0
12,17975.232421875,-17965.27734375,9.955418586730957,9.955418586730957,1.0
13,17754.201171875,-17742.814453125,11.386884689331055,11.386884689331055,1.0
14,17505.26953125,-17492.296875,12.97118854522705,12.97118854522705,1.0
15,16745.80859375,-16731.1953125,14.612768173217773,14.612768173217773,1.0
16,15689.5302734375,-15673.2919921875,16.23907470703125,16.23907470703125,1.0
17,14873.0810546875,-14855.2529296875,17.827787399291992,17.827787399291992,1.0
18,14320.46484375,-14301.0908203125,19.37479019165039,19.37479019165039,1.0
19,14028.791015625,-14007.8837890625,20.907278060913086,20.907278060913086,1.0
20,13600.0205078125,-13577.533203125,22.487642288208008,22.487642288208008,1.0
21,13419.1787109375,-13395.0009765625,24.17868423461914,24.17868423461914,1.0
22,13245.7666015625,-13219.71875,26.048810958862305,26.048810958862305,1.0
23,13070.0947265625,-13041.91796875,28.176851272583008,28.176851272583008,1.0
24,12813.1904296875,-12782.599609375,30.59017562866211,30.59017562866211,1.0
25,12556.046875,-12522.734375,33.312950134277344,33.312950134277344,1.0
26,12605.6455078125,-12569.564453125,36.080909729003906,36.080909729003906,1.0
27,12567.08984375,-12528.529296875,38.560733795166016,38.560733795166016,1.0
28,12561.93359375,-12521.689453125,40.243377685546875,40.243377685546875,1.0
29,12629.400390625,-12588.322265625,41.07743835449219,41.07743835449219,1.0
30,12597.3427734375,-12555.9951171875,41.34773635864258,41.34773635864258,1.0
31,12449.0654296875,-12407.80859375,41.25693893432617,41.25693893432617,1.0
32,12464.3681640625,-12423.390625,40.978370666503906,40.978370666503906,1.0
33,12428.041015625,-12387.4228515625,40.61784744262695,40.61784744262695,1.0
34,12267.21484375,-12226.962890625,40.251861572265625,40.251861572265625,1.0
