iter,loss,elbo,kl,weighted_kl,kl_weight
1,43678.203125,-43678.203125,0.2980640232563019,0.00011922560930252076,0.0004
2,43011.265625,-43011.265625,0.4245338439941406,0.0003396270751953125,0.0008
3,42005.7890625,-42005.78515625,0.7503089904785156,0.0009003707885742187,0.0012
4,40066.3203125,-40066.3203125,1.2334147691726685,0.00197346363067627,0.0016
5,36723.59375,-36723.59375,1.954077959060669,0.003908155918121338,0.002
6,32264.01953125,-32264.01171875,3.034745693206787,0.007283389663696288,0.0024
7,27560.94140625,-27560.9296875,4.446559906005859,0.012450367736816407,0.0028
8,27921.67578125,-27921.658203125,5.969974994659424,0.019103919982910156,0.0032
9,23937.208984375,-23937.185546875,6.943297863006592,0.02499587230682373,0.0036
10,20790.189453125,-20790.15625,7.774599075317383,0.03109839630126953,0.004
11,19056.384765625,-19056.345703125,8.758378982543945,0.03853686752319336,0.0044
12,17961.54296875,-17961.49609375,9.971281051635742,0.047862149047851556,0.0048
13,17744.681640625,-17744.62109375,11.406161308288574,0.059312038803100584,0.0052
14,17490.46875,-17490.396484375,12.993692398071289,0.07276467742919922,0.0056
15,16725.1328125,-16725.044921875,14.639120101928711,0.08783472061157227,0.006
16,15666.6953125,-15666.5908203125,16.270633697509766,0.1041320556640625,0.0064
17,14849.23046875,-14849.1083984375,17.866371154785156,0.12149132385253905,0.0068
18,14296.6689453125,-14296.5283203125,19.42251968383789,0.1398421417236328,0.0072
19,14004.5654296875,-14004.40625,20.966693878173828,0.1593468734741211,0.0076
20,13574.0927734375,-13573.9130859375,22.561677932739258,0.18049342346191408,0.008
21,13390.6064453125,-13390.4013671875,24.270736694335938,0.20387418823242187,0.0084
22,13213.765625,-13213.53515625,26.163148880004883,0.23023571014404298,0.0088
23,13035.890625,-13035.630859375,28.318824768066406,0.26053318786621094,0.0092
24,12777.265625,-12776.970703125,30.767200469970703,0.2953651245117187,0.0096
25,12521.076171875,-12520.740234375,33.5356559753418,0.335356559753418,0.01
26,12570.2578125,-12569.8798828125,36.3617057800293,0.3781617401123047,0.0104
27,12532.5810546875,-12532.16015625,38.90360641479492,0.4201589492797852,0.0108
28,12527.755859375,-12527.30078125,40.62961959838867,0.4550517395019531,0.0112
29,12593.72265625,-12593.240234375,41.48057556152344,0.48117467651367185,0.0116
30,12559.455078125,-12558.953125,41.75312042236328,0.5010374450683593,0.012
31,12410.380859375,-12409.8642578125,41.65935516357422,0.5165760040283203,0.0124
32,12426.0927734375,-12425.5634765625,41.3780517578125,0.5296390625,0.0128
33,12390.634765625,-12390.09375,41.01639938354492,0.541416471862793,0.0132
34,12229.65625,-12229.103515625,40.6530876159668,0.5528819915771485,0.0136
35,12194.708984375,-12194.142578125,40.36644744873047,0.5651302642822266,0.014
36,12232.0810546875,-12231.5029296875,40.15079879760742,0.5781715026855468,0.0144
37,12184.4267578125,-12183.8349609375,40.04511642456055,0.5926677230834961,0.0148
38,12254.3203125,-12253.7119140625,40.01475143432617,0.6082242218017578,0.0152
39,12175.1025390625,-12174.4775390625,40.03254699707031,0.6245077331542969,0.0156
40,12167.275390625,-12166.634765625,40.044002532958984,0.6407040405273438,0.016
41,12148.125,-12147.46875,40.08277893066406,0.6573575744628907,0.0164
42,12105.80078125,-12105.1279296875,40.155025482177734,0.6746044281005859,0.0168
43,12072.70703125,-12072.0146484375,40.24543762207031,0.6922215270996094,0.0172
44,12069.458984375,-12068.748046875,40.38609313964844,0.7107952392578125,0.0176
45,12107.8349609375,-12107.1044921875,40.57229995727539,0.7303013992309569,0.018
46,12055.736328125,-12054.986328125,40.7535400390625,0.74986513671875,0.0184
47,12004.87890625,-12004.1103515625,40.88892364501953,0.7687117645263672,0.0188
48,11995.6767578125,-11994.8896484375,41.01534652709961,0.7874946533203124,0.0192
49,11973.00390625,-11972.1962890625,41.170352935791016,0.8069389175415039,0.0196
50,11903.130859375,-11902.3046875,41.35007095336914,0.8270014190673828,0.02
51,12015.7001953125,-12014.8525390625,41.55357360839844,0.8476929016113282,0.0204
52,12026.931640625,-12026.0625,41.822509765625,0.869908203125,0.0208
53,11966.1455078125,-11965.251953125,42.15937805175781,0.8937788146972656,0.0212
54,11984.4326171875,-11983.5126953125,42.62251663208008,0.9206463592529297,0.0216
55,11941.7001953125,-11940.7509765625,43.175621032714844,0.9498636627197266,0.022
56,11843.228515625,-11842.25,43.78596115112305,0.9808055297851562,0.0224
57,11884.9130859375,-11883.900390625,44.4271125793457,1.012938166809082,0.0228
58,11848.205078125,-11847.16015625,45.02545928955078,1.0445906555175781,0.0232
59,11923.53515625,-11922.4609375,45.54887008666992,1.07495333404541,0.0236
60,11853.7080078125,-11852.603515625,45.998592376708984,1.1039662170410156,0.024
61,11897.185546875,-11896.0546875,46.37313461303711,1.1315044845581055,0.0244
62,11854.0322265625,-11852.8740234375,46.715370178222656,1.158541180419922,0.0248
63,11813.1728515625,-11811.98828125,47.00271224975586,1.1844683486938477,0.0252
64,11824.046875,-11822.8369140625,47.267147064208984,1.21003896484375,0.0256
65,11821.984375,-11820.7490234375,47.5245361328125,1.235637939453125,0.026
66,11772.314453125,-11771.0537109375,47.79281997680664,1.2617304473876954,0.0264
67,11815.4765625,-11814.1884765625,48.05852508544922,1.287968472290039,0.0268
68,11741.115234375,-11739.80078125,48.340087890625,1.314850390625,0.0272
69,11777.861328125,-11776.5205078125,48.59783935546875,1.3413003662109375,0.0276
70,11736.6328125,-11735.2646484375,48.83357238769531,1.3673400268554687,0.028
71,11765.8896484375,-11764.4951171875,49.07335662841797,1.3936833282470704,0.0284
72,11764.408203125,-11762.990234375,49.291229248046875,1.41958740234375,0.0288
73,11731.9931640625,-11730.546875,49.54096984863281,1.4465963195800782,0.0292
