iter,loss,elbo,kl,weighted_kl,kl_weight
1,46361.72265625,-46361.328125,0.3941752314567566,0.3941752314567566,1.0
2,41613.5625,-41613.07421875,0.4904569387435913,0.4904569387435913,1.0
3,39143.5390625,-39142.68359375,0.8537653684616089,0.8537653684616089,1.0
4,33760.10546875,-33758.6484375,1.4526036977767944,1.4526036977767944,1.0
5,28160.072265625,-28157.77734375,2.2941999435424805,2.2941999435424805,1.0
6,23845.279296875,-23841.81640625,3.460829734802246,3.460829734802246,1.0
7,20238.291015625,-20233.369140625,4.922972679138184,4.922972679138184,1.0
8,18776.685546875,-18770.0,6.684129238128662,6.684129238128662,1.0
9,17862.826171875,-17854.189453125,8.638473510742188,8.638473510742188,1.0
10,16864.509765625,-16853.775390625,10.733412742614746,10.733412742614746,1.0
11,15617.7421875,-15604.806640625,12.936172485351562,12.936172485351562,1.0
12,15170.6025390625,-15155.4169921875,15.186946868896484,15.186946868896484,1.0
13,14844.5390625,-14827.1728515625,17.36614990234375,17.36614990234375,1.0
14,14269.3642578125,-14249.9794921875,19.385574340820312,19.385574340820312,1.0
15,13492.123046875,-13470.8447265625,21.278221130371094,21.278221130371094,1.0
16,13392.0185546875,-13368.8828125,23.135540008544922,23.135540008544922,1.0
17,13382.9384765625,-13357.9375,25.000774383544922,25.000774383544922,1.0
18,13029.2119140625,-13002.3154296875,26.896034240722656,26.896034240722656,1.0
19,12599.0517578125,-12570.2568359375,28.79499626159668,28.79499626159668,1.0
20,12408.876953125,-12378.2197265625,30.658092498779297,30.658092498779297,1.0
21,12406.3603515625,-12373.974609375,32.38667297363281,32.38667297363281,1.0
22,12331.640625,-12297.7587890625,33.88151550292969,33.88151550292969,1.0
23,12257.625,-12222.4501953125,35.17399215698242,35.17399215698242,1.0
24,12344.451171875,-12308.078125,36.37322235107422,36.37322235107422,1.0
25,12287.36328125,-12249.90234375,37.461368560791016,37.461368560791016,1.0
26,12206.880859375,-12168.4541015625,38.426429748535156,38.426429748535156,1.0
27,12116.384765625,-12077.134765625,39.24931335449219,39.24931335449219,1.0
28,12025.966796875,-11986.05859375,39.908180236816406,39.908180236816406,1.0
29,11938.056640625,-11897.58203125,40.47547912597656,40.47547912597656,1.0
30,11911.3134765625,-11870.302734375,41.01173782348633,41.01173782348633,1.0
31,11902.72265625,-11861.1669921875,41.55714416503906,41.55714416503906,1.0
32,11809.876953125,-11767.74609375,42.13053512573242,42.13053512573242,1.0
33,11839.7587890625,-11797.0478515625,42.71157455444336,42.71157455444336,1.0
34,11788.3974609375,-11745.142578125,43.25453186035156,43.25453186035156,1.0
35,11657.7998046875,-11614.052734375,43.747039794921875,43.747039794921875,1.0
36,11598.033203125,-11553.8193359375,44.21419906616211,44.21419906616211,1.0
37,11589.7919921875,-11545.14453125,44.64655685424805,44.64655685424805,1.0
38,11500.650390625,-11455.615234375,45.035125732421875,45.035125732421875,1.0
39,11407.0380859375,-11361.634765625,45.40365982055664,45.40365982055664,1.0
40,11409.365234375,-11363.5927734375,45.77292251586914,45.77292251586914,1.0
41,11422.1259765625,-11376.0126953125,46.113277435302734,46.113277435302734,1.0
42,11270.1708984375,-11223.71875,46.45121383666992,46.45121383666992,1.0
43,11241.2763671875,-11194.4814453125,46.794822692871094,46.794822692871094,1.0
44,11148.8974609375,-11101.7578125,47.140384674072266,47.140384674072266,1.0
45,11107.3427734375,-11059.8388671875,47.50370788574219,47.50370788574219,1.0
46,11041.5908203125,-10993.74609375,47.843563079833984,47.843563079833984,1.0
47,10983.138671875,-10934.9921875,48.14682388305664,48.14682388305664,1.0
48,10860.5849609375,-10812.111328125,48.47216033935547,48.47216033935547,1.0
49,10821.703125,-10772.9482421875,48.7556037902832,48.7556037902832,1.0
50,10685.162109375,-10636.0283203125,49.134056091308594,49.134056091308594,1.0
51,10640.634765625,-10591.15234375,49.4805908203125,49.4805908203125,1.0
52,10598.8544921875,-10549.0361328125,49.818416595458984,49.818416595458984,1.0
53,10561.9404296875,-10511.7353515625,50.20478820800781,50.20478820800781,1.0
54,10475.1162109375,-10424.64453125,50.4720573425293,50.4720573425293,1.0
55,10356.1201171875,-10305.2724609375,50.84732437133789,50.84732437133789,1.0
56,10110.908203125,-10059.8642578125,51.044227600097656,51.044227600097656,1.0
57,10091.162109375,-10039.94140625,51.22212600708008,51.22212600708008,1.0
58,9979.1767578125,-9927.6865234375,51.489383697509766,51.489383697509766,1.0
59,9915.8505859375,-9864.1962890625,51.655418395996094,51.655418395996094,1.0
60,9780.4013671875,-9728.484375,51.91719055175781,51.91719055175781,1.0
61,9763.3359375,-9711.138671875,52.19771957397461,52.19771957397461,1.0
62,9868.51171875,-9816.048828125,52.46197509765625,52.46197509765625,1.0
63,9489.30078125,-9436.3203125,52.979862213134766,52.979862213134766,1.0
64,9342.462890625,-9289.080078125,53.38119888305664,53.38119888305664,1.0
65,9122.017578125,-9068.248046875,53.769100189208984,53.769100189208984,1.0
66,8841.1484375,-8786.81640625,54.33123779296875,54.33123779296875,1.0
67,8854.298828125,-8799.2724609375,55.025150299072266,55.025150299072266,1.0
68,8724.677734375,-8669.048828125,55.629478454589844,55.629478454589844,1.0
69,8811.232421875,-8755.1025390625,56.12854766845703,56.12854766845703,1.0
70,8849.361328125,-8792.4755859375,56.88557052612305,56.88557052612305,1.0
71,8821.2880859375,-8763.923828125,57.364078521728516,57.364078521728516,1.0
72,7842.185546875,-7784.2294921875,57.956111907958984,57.956111907958984,1.0
