model,concepts,version,label,csv_path,save_dir,epochs,lr,hidden_dim,num_layers,batch_size,train_size,seed,include_delta_t,irregular_timestamps,irregular_window_time,irregular_n_trials,time_steps_path
lstm_dkt,2,0,c2_v00_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,/home/atiwari/Annealing_Experiment/syntheticKT/naive_c2_q50_s4000_v0.csv,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results_Irregular_48/c2_v00_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,300,0.001,64,1,64,1600,32,True,True,48.0,100,Experiments/shared_synthetic_kt_irregular_times_q50_window-48p0_seed-32.pt
lstm_dkt,2,1,c2_v01_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,/home/atiwari/Annealing_Experiment/syntheticKT/naive_c2_q50_s4000_v1.csv,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results_Irregular_48/c2_v01_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,300,0.001,64,1,64,1600,32,True,True,48.0,100,Experiments/shared_synthetic_kt_irregular_times_q50_window-48p0_seed-32.pt
lstm_dkt,2,2,c2_v02_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,/home/atiwari/Annealing_Experiment/syntheticKT/naive_c2_q50_s4000_v2.csv,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results_Irregular_48/c2_v02_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,300,0.001,64,1,64,1600,32,True,True,48.0,100,Experiments/shared_synthetic_kt_irregular_times_q50_window-48p0_seed-32.pt
lstm_dkt,2,3,c2_v03_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,/home/atiwari/Annealing_Experiment/syntheticKT/naive_c2_q50_s4000_v3.csv,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results_Irregular_48/c2_v03_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,300,0.001,64,1,64,1600,32,True,True,48.0,100,Experiments/shared_synthetic_kt_irregular_times_q50_window-48p0_seed-32.pt
lstm_dkt,2,4,c2_v04_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,/home/atiwari/Annealing_Experiment/syntheticKT/naive_c2_q50_s4000_v4.csv,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results_Irregular_48/c2_v04_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,300,0.001,64,1,64,1600,32,True,True,48.0,100,Experiments/shared_synthetic_kt_irregular_times_q50_window-48p0_seed-32.pt
lstm_dkt,2,5,c2_v05_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,/home/atiwari/Annealing_Experiment/syntheticKT/naive_c2_q50_s4000_v5.csv,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results_Irregular_48/c2_v05_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,300,0.001,64,1,64,1600,32,True,True,48.0,100,Experiments/shared_synthetic_kt_irregular_times_q50_window-48p0_seed-32.pt
lstm_dkt,2,6,c2_v06_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,/home/atiwari/Annealing_Experiment/syntheticKT/naive_c2_q50_s4000_v6.csv,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results_Irregular_48/c2_v06_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,300,0.001,64,1,64,1600,32,True,True,48.0,100,Experiments/shared_synthetic_kt_irregular_times_q50_window-48p0_seed-32.pt
lstm_dkt,2,7,c2_v07_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,/home/atiwari/Annealing_Experiment/syntheticKT/naive_c2_q50_s4000_v7.csv,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results_Irregular_48/c2_v07_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,300,0.001,64,1,64,1600,32,True,True,48.0,100,Experiments/shared_synthetic_kt_irregular_times_q50_window-48p0_seed-32.pt
lstm_dkt,2,8,c2_v08_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,/home/atiwari/Annealing_Experiment/syntheticKT/naive_c2_q50_s4000_v8.csv,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results_Irregular_48/c2_v08_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,300,0.001,64,1,64,1600,32,True,True,48.0,100,Experiments/shared_synthetic_kt_irregular_times_q50_window-48p0_seed-32.pt
lstm_dkt,2,9,c2_v09_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,/home/atiwari/Annealing_Experiment/syntheticKT/naive_c2_q50_s4000_v9.csv,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results_Irregular_48/c2_v09_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,300,0.001,64,1,64,1600,32,True,True,48.0,100,Experiments/shared_synthetic_kt_irregular_times_q50_window-48p0_seed-32.pt
