model,concepts,version,label,best_epoch,epochs_completed,best_train_loss,best_train_accuracy,best_train_auc,best_val_loss,best_val_accuracy,best_val_auc,test_loss,test_accuracy,test_auc,save_dir
ode_rnn_dkt,2,0,c2_v00_epochs-1500_lr-0.001_latent-64_ode-64_gru-64,43,63,0.4043064880371094,0.8107015306122449,0.8748060122213124,0.41634574174880984,0.8028061224489796,0.8679074867597496,0.41013423919677733,0.8076428571428571,0.8725442952065301,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/ODE_RNN_Results/c2_v00_epochs-1500_lr-0.001_latent-64_ode-64_gru-64
ode_rnn_dkt,2,1,c2_v01_epochs-1500_lr-0.001_latent-64_ode-64_gru-64,35,55,0.39749193072319033,0.8148724489795919,0.8813377793287237,0.4011772060394287,0.8119897959183674,0.8756741146587456,0.40966339802742,0.8068571428571428,0.8736363757410857,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/ODE_RNN_Results/c2_v01_epochs-1500_lr-0.001_latent-64_ode-64_gru-64
ode_rnn_dkt,2,2,c2_v02_epochs-1500_lr-0.001_latent-64_ode-64_gru-64,44,64,0.41735488891601563,0.8016198979591836,0.8743236165284103,0.41554022789001466,0.8068877551020408,0.8741059167111288,0.42556778621673585,0.7983775510204082,0.8669033468516056,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/ODE_RNN_Results/c2_v02_epochs-1500_lr-0.001_latent-64_ode-64_gru-64
ode_rnn_dkt,2,3,c2_v03_epochs-1500_lr-0.001_latent-64_ode-64_gru-64,43,63,0.40674596309661865,0.8134438775510204,0.874263362538868,0.41038660168647767,0.8131122448979592,0.8682145605353453,0.4129099700450897,0.8106122448979591,0.8677272696231481,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/ODE_RNN_Results/c2_v03_epochs-1500_lr-0.001_latent-64_ode-64_gru-64
ode_rnn_dkt,2,4,c2_v04_epochs-1500_lr-0.001_latent-64_ode-64_gru-64,44,64,0.40110404014587403,0.809795918367347,0.8796235493226794,0.4118089497089386,0.8048979591836735,0.8769664859744868,0.4128121106624603,0.8040408163265306,0.8726874364729778,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/ODE_RNN_Results/c2_v04_epochs-1500_lr-0.001_latent-64_ode-64_gru-64
ode_rnn_dkt,2,5,c2_v05_epochs-1500_lr-0.001_latent-64_ode-64_gru-64,36,56,0.4017448759078979,0.8105867346938775,0.8774980049487637,0.3967875456809998,0.8112755102040816,0.8771839965160255,0.4056307179927826,0.8100204081632653,0.8726768260017559,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/ODE_RNN_Results/c2_v05_epochs-1500_lr-0.001_latent-64_ode-64_gru-64
ode_rnn_dkt,2,6,c2_v06_epochs-1500_lr-0.001_latent-64_ode-64_gru-64,35,55,0.41683969140052796,0.8032780612244897,0.8738998641679733,0.4393285536766052,0.7869897959183674,0.8601621119532825,0.4348195343017578,0.792734693877551,0.8647932728073962,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/ODE_RNN_Results/c2_v06_epochs-1500_lr-0.001_latent-64_ode-64_gru-64
ode_rnn_dkt,2,7,c2_v07_epochs-1500_lr-0.001_latent-64_ode-64_gru-64,33,53,0.417293301820755,0.805905612244898,0.8746813916599676,0.42536646366119385,0.8040816326530612,0.8707410312593544,0.424626070022583,0.8024591836734694,0.8684959020041374,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/ODE_RNN_Results/c2_v07_epochs-1500_lr-0.001_latent-64_ode-64_gru-64
ode_rnn_dkt,2,8,c2_v08_epochs-1500_lr-0.001_latent-64_ode-64_gru-64,42,62,0.4149027597904205,0.8020918367346939,0.874458275733363,0.40733633279800413,0.8103061224489796,0.8768409175981492,0.4172727143764496,0.8009183673469388,0.8705142952333629,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/ODE_RNN_Results/c2_v08_epochs-1500_lr-0.001_latent-64_ode-64_gru-64
ode_rnn_dkt,2,9,c2_v09_epochs-1500_lr-0.001_latent-64_ode-64_gru-64,31,51,0.4050269615650177,0.8084438775510204,0.8767303296343607,0.41756322503089904,0.7990816326530612,0.8704639335817682,0.4110303428173065,0.8042142857142857,0.8738651653619173,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/ODE_RNN_Results/c2_v09_epochs-1500_lr-0.001_latent-64_ode-64_gru-64
ode_rnn_dkt,2,10,c2_v10_epochs-1500_lr-0.001_latent-64_ode-64_gru-64,32,52,0.4125876760482788,0.8029974489795918,0.8750263803377376,0.4221284091472626,0.793469387755102,0.868909464609341,0.42162866139411925,0.7989693877551021,0.8696603294442342,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/ODE_RNN_Results/c2_v10_epochs-1500_lr-0.001_latent-64_ode-64_gru-64
ode_rnn_dkt,2,11,c2_v11_epochs-1500_lr-0.001_latent-64_ode-64_gru-64,56,76,0.4133991682529449,0.8056760204081632,0.877977441511039,0.4108308029174805,0.8061734693877551,0.8738467074783768,0.4122193989753723,0.804469387755102,0.8737108943767004,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/ODE_RNN_Results/c2_v11_epochs-1500_lr-0.001_latent-64_ode-64_gru-64
ode_rnn_dkt,2,12,c2_v12_epochs-1500_lr-0.001_latent-64_ode-64_gru-64,30,50,0.417064722776413,0.8035969387755102,0.8763801689283661,0.4231867492198944,0.7993367346938776,0.874122387117851,0.4228601694107056,0.7986530612244898,0.8723795337771272,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/ODE_RNN_Results/c2_v12_epochs-1500_lr-0.001_latent-64_ode-64_gru-64
ode_rnn_dkt,2,13,c2_v13_epochs-1500_lr-0.001_latent-64_ode-64_gru-64,35,55,0.413159339427948,0.806045918367347,0.8742697366048262,0.42705471873283385,0.7971428571428572,0.8716710639015719,0.4231492908000946,0.8014591836734694,0.8679243939427075,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/ODE_RNN_Results/c2_v13_epochs-1500_lr-0.001_latent-64_ode-64_gru-64
ode_rnn_dkt,2,14,c2_v14_epochs-1500_lr-0.001_latent-64_ode-64_gru-64,36,56,0.4193524169921875,0.8008035714285714,0.8738715402475243,0.423815358877182,0.7971428571428572,0.8698175430028572,0.42877749443054197,0.796,0.867748504365134,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/ODE_RNN_Results/c2_v14_epochs-1500_lr-0.001_latent-64_ode-64_gru-64
ode_rnn_dkt,2,15,c2_v15_epochs-1500_lr-0.001_latent-64_ode-64_gru-64,39,59,0.4203061401844025,0.8024489795918367,0.8722119198481677,0.4330627202987671,0.7923469387755102,0.8638121578722009,0.4241999027729034,0.7991530612244898,0.8679659817588207,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/ODE_RNN_Results/c2_v15_epochs-1500_lr-0.001_latent-64_ode-64_gru-64
ode_rnn_dkt,2,16,c2_v16_epochs-1500_lr-0.001_latent-64_ode-64_gru-64,45,65,0.40669012904167173,0.8061607142857142,0.8765966103010548,0.41366104006767274,0.8008673469387755,0.8772617416437993,0.41329056668281555,0.8021530612244898,0.8726114032120689,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/ODE_RNN_Results/c2_v16_epochs-1500_lr-0.001_latent-64_ode-64_gru-64
