Training Run w/ 1000 epochs, KL_weight = 0.1


Training Latent ODE...
Epoch 1/1000 | Total: 0.901343 | Recon: 0.901343 | KL: 0.075761 | KL Weight: 0.000000
Epoch 10/1000 | Total: 0.750729 | Recon: 0.750462 | KL: 0.088966 | KL Weight: 0.003000
Epoch 20/1000 | Total: 0.737424 | Recon: 0.736726 | KL: 0.110261 | KL Weight: 0.006333
Epoch 30/1000 | Total: 0.738971 | Recon: 0.737728 | KL: 0.128611 | KL Weight: 0.009667
Epoch 40/1000 | Total: 0.742781 | Recon: 0.740698 | KL: 0.160171 | KL Weight: 0.013000
Epoch 50/1000 | Total: 0.739947 | Recon: 0.736194 | KL: 0.229795 | KL Weight: 0.016333
Epoch 60/1000 | Total: 0.736605 | Recon: 0.730524 | KL: 0.309214 | KL Weight: 0.019667
Epoch 70/1000 | Total: 0.745665 | Recon: 0.737699 | KL: 0.346375 | KL Weight: 0.023000
Epoch 80/1000 | Total: 0.729806 | Recon: 0.720782 | KL: 0.342677 | KL Weight: 0.026333
Epoch 90/1000 | Total: 0.733532 | Recon: 0.725079 | KL: 0.284930 | KL Weight: 0.029667
Epoch 100/1000 | Total: 0.731664 | Recon: 0.722790 | KL: 0.268923 | KL Weight: 0.033000
Epoch 110/1000 | Total: 0.730343 | Recon: 0.721569 | KL: 0.241497 | KL Weight: 0.036333
Epoch 120/1000 | Total: 0.728413 | Recon: 0.718284 | KL: 0.255359 | KL Weight: 0.039667
Epoch 130/1000 | Total: 0.723452 | Recon: 0.712136 | KL: 0.263160 | KL Weight: 0.043000
Epoch 140/1000 | Total: 0.728288 | Recon: 0.716577 | KL: 0.252750 | KL Weight: 0.046333
Epoch 150/1000 | Total: 0.714164 | Recon: 0.701721 | KL: 0.250530 | KL Weight: 0.049667
Epoch 160/1000 | Total: 0.719569 | Recon: 0.706792 | KL: 0.241085 | KL Weight: 0.053000
Epoch 170/1000 | Total: 0.717536 | Recon: 0.704805 | KL: 0.225982 | KL Weight: 0.056333
Epoch 180/1000 | Total: 0.722862 | Recon: 0.708318 | KL: 0.243764 | KL Weight: 0.059667
Epoch 190/1000 | Total: 0.711883 | Recon: 0.694490 | KL: 0.276071 | KL Weight: 0.063000
Epoch 200/1000 | Total: 0.731800 | Recon: 0.713383 | KL: 0.277647 | KL Weight: 0.066333
Epoch 210/1000 | Total: 0.699495 | Recon: 0.670783 | KL: 0.412125 | KL Weight: 0.069667
Epoch 220/1000 | Total: 0.653395 | Recon: 0.601661 | KL: 0.708690 | KL Weight: 0.073000
Epoch 230/1000 | Total: 0.643832 | Recon: 0.578597 | KL: 0.854610 | KL Weight: 0.076333
Epoch 240/1000 | Total: 0.724039 | Recon: 0.655646 | KL: 0.858479 | KL Weight: 0.079667
Epoch 250/1000 | Total: 0.692533 | Recon: 0.625219 | KL: 0.811023 | KL Weight: 0.083000
Epoch 260/1000 | Total: 0.647707 | Recon: 0.571946 | KL: 0.877540 | KL Weight: 0.086333
Epoch 270/1000 | Total: 0.632756 | Recon: 0.552295 | KL: 0.897331 | KL Weight: 0.089667
Epoch 280/1000 | Total: 0.619027 | Recon: 0.529695 | KL: 0.960557 | KL Weight: 0.093000
Epoch 290/1000 | Total: 0.637177 | Recon: 0.544021 | KL: 0.967019 | KL Weight: 0.096333
Epoch 300/1000 | Total: 0.635310 | Recon: 0.543326 | KL: 0.922913 | KL Weight: 0.099667
