Training Latent ODE...
Epoch 1/500 | Total: 1.564409 | Recon: 1.564409 | KL: 1.774778 | KL Weight: 0.000000
Epoch 10/500 | Total: 1.411461 | Recon: 1.364008 | KL: 1.318145 | KL Weight: 0.036000
Epoch 20/500 | Total: 1.391444 | Recon: 1.359434 | KL: 0.421184 | KL Weight: 0.076000
Epoch 30/500 | Total: 1.361213 | Recon: 1.350621 | KL: 0.091317 | KL Weight: 0.116000
Epoch 40/500 | Total: 1.358151 | Recon: 1.354887 | KL: 0.020922 | KL Weight: 0.156000
Epoch 50/500 | Total: 1.370165 | Recon: 1.369512 | KL: 0.003328 | KL Weight: 0.196000
Epoch 60/500 | Total: 1.364754 | Recon: 1.363801 | KL: 0.004041 | KL Weight: 0.236000
Epoch 70/500 | Total: 1.350376 | Recon: 1.349992 | KL: 0.001392 | KL Weight: 0.276000
Epoch 80/500 | Total: 1.356234 | Recon: 1.355869 | KL: 0.001157 | KL Weight: 0.316000
Epoch 90/500 | Total: 1.361405 | Recon: 1.361097 | KL: 0.000867 | KL Weight: 0.356000
Epoch 100/500 | Total: 1.358932 | Recon: 1.358650 | KL: 0.000710 | KL Weight: 0.396000
Epoch 110/500 | Total: 1.355898 | Recon: 1.355616 | KL: 0.000648 | KL Weight: 0.436000
Epoch 120/500 | Total: 1.353938 | Recon: 1.353677 | KL: 0.000548 | KL Weight: 0.476000
Epoch 130/500 | Total: 1.348686 | Recon: 1.348434 | KL: 0.000488 | KL Weight: 0.516000
Epoch 140/500 | Total: 1.354149 | Recon: 1.353903 | KL: 0.000443 | KL Weight: 0.556000
Epoch 150/500 | Total: 1.347654 | Recon: 1.347428 | KL: 0.000380 | KL Weight: 0.596000
Epoch 160/500 | Total: 1.356980 | Recon: 1.356773 | KL: 0.000327 | KL Weight: 0.636000
Epoch 170/500 | Total: 1.347066 | Recon: 1.346872 | KL: 0.000287 | KL Weight: 0.676000
Epoch 180/500 | Total: 1.347766 | Recon: 1.347568 | KL: 0.000276 | KL Weight: 0.716000
Epoch 190/500 | Total: 1.347470 | Recon: 1.347282 | KL: 0.000249 | KL Weight: 0.756000
Epoch 200/500 | Total: 1.348163 | Recon: 1.347996 | KL: 0.000209 | KL Weight: 0.796000
Epoch 210/500 | Total: 1.353144 | Recon: 1.352983 | KL: 0.000192 | KL Weight: 0.836000
Epoch 220/500 | Total: 1.341838 | Recon: 1.341674 | KL: 0.000186 | KL Weight: 0.876000
Epoch 230/500 | Total: 1.344481 | Recon: 1.344337 | KL: 0.000157 | KL Weight: 0.916000
Epoch 240/500 | Total: 1.347185 | Recon: 1.347050 | KL: 0.000142 | KL Weight: 0.956000
Epoch 250/500 | Total: 1.346957 | Recon: 1.346827 | KL: 0.000131 | KL Weight: 0.996000
Epoch 260/500 | Total: 1.338355 | Recon: 1.338232 | KL: 0.000123 | KL Weight: 1.000000
Epoch 270/500 | Total: 1.342755 | Recon: 1.342637 | KL: 0.000118 | KL Weight: 1.000000
Epoch 280/500 | Total: 1.350666 | Recon: 1.350547 | KL: 0.000119 | KL Weight: 1.000000
Epoch 290/500 | Total: 1.345128 | Recon: 1.345021 | KL: 0.000107 | KL Weight: 1.000000
Epoch 300/500 | Total: 1.340771 | Recon: 1.340656 | KL: 0.000115 | KL Weight: 1.000000
Epoch 310/500 | Total: 1.338700 | Recon: 1.338603 | KL: 0.000098 | KL Weight: 1.000000
Epoch 320/500 | Total: 1.344503 | Recon: 1.344410 | KL: 0.000093 | KL Weight: 1.000000
Epoch 330/500 | Total: 1.344806 | Recon: 1.344715 | KL: 0.000091 | KL Weight: 1.000000
Epoch 340/500 | Total: 1.357969 | Recon: 1.357871 | KL: 0.000098 | KL Weight: 1.000000
Epoch 350/500 | Total: 1.342069 | Recon: 1.341976 | KL: 0.000094 | KL Weight: 1.000000
Epoch 360/500 | Total: 1.346366 | Recon: 1.346221 | KL: 0.000145 | KL Weight: 1.000000
Epoch 370/500 | Total: 1.347113 | Recon: 1.347003 | KL: 0.000111 | KL Weight: 1.000000
Epoch 380/500 | Total: 1.362661 | Recon: 1.362544 | KL: 0.000117 | KL Weight: 1.000000
Epoch 390/500 | Total: 1.348518 | Recon: 1.348406 | KL: 0.000112 | KL Weight: 1.000000
Epoch 400/500 | Total: 1.344575 | Recon: 1.344393 | KL: 0.000182 | KL Weight: 1.000000
Epoch 410/500 | Total: 1.337330 | Recon: 1.337219 | KL: 0.000111 | KL Weight: 1.000000
Epoch 480/500 | Total: 1.276094 | Recon: 1.275298 | KL: 0.000797 | KL Weight: 1.000000
Epoch 490/500 | Total: 1.310626 | Recon: 1.309546 | KL: 0.001080 | KL Weight: 1.000000
Epoch 500/500 | Total: 1.250363 | Recon: 1.248806 | KL: 0.001556 | KL Weight: 1.000000
